1;Memuaskan;Tidak Ada;Mampu;Baik;Puas
2;Memuaskan;Tidak Ada;Mampu;Baik;Puas
3;Memuaskan;Tidak Ada;Mampu;Baik;Puas
4;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
5;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
6;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
7;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
8;Cukup Memuaskan;Ada;Kurang Mampu;Cukup Baik;Tidak Puas
9;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Cukup Baik;Puas
10;Memuaskan;Tidak Ada;Mampu;Baik;Puas
11;Memuaskan;Tidak Ada;Mampu;Baik;Puas
12;Memuaskan;Tidak Ada;Mampu;Baik;Puas
13;Memuaskan;Tidak Ada;Mampu;Baik;Puas
14;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
15;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
16;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
17;Memuaskan;Tidak Ada;Mampu;Baik;Puas
18;Memuaskan;Tidak Ada;Mampu;Baik;Puas
19;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
20;Memuaskan;Tidak Ada;Mampu;Baik;Puas
21;Memuaskan;Tidak Ada;Mampu;Baik;Puas
22;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
23;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
24;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Cukup Baik;Puas
25;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Cukup Baik;Puas
26;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
27;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
28;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
29;Memuaskan;Tidak Ada;Mampu;Baik;Puas
30;Memuaskan;Tidak Ada;Mampu;Baik;Puas
31;Memuaskan;Tidak Ada;Mampu;Baik;Puas
32;Memuaskan;Tidak Ada;Mampu;Baik;Puas
33;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Tidak Baik;Tidak Puas
34;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Cukup Baik;Puas
35;Cukup Memuaskan;Tidak Ada;Mampu;Cukup Baik;Puas
36;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Cukup Baik;Puas
37;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
38;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
39;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
40;Memuaskan;Tidak Ada;Mampu;Baik;Puas
41;Memuaskan;Tidak Ada;Mampu;Baik;Puas
42;Memuaskan;Tidak Ada;Mampu;Baik;Puas
43;Memuaskan;Tidak Ada;Mampu;Baik;Puas
44;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
45;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
46;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
47;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
48;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
49;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Tidak Baik;Tidak Puas
50;Cukup Memuaskan;Ada;Kurang Mampu;Cukup Baik;Tidak Puas
51;Memuaskan;Tidak Ada;Mampu;Baik;Puas
52;Memuaskan;Tidak Ada;Mampu;Baik;Puas
53;Memuaskan;Tidak Ada;Mampu;Baik;Puas
54;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
55;Memuaskan;Tidak Ada;Mampu;Baik;Puas
56;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
57;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
58;Memuaskan;Tidak Ada;Mampu;Baik;Puas
59;Memuaskan;Tidak Ada;Mampu;Baik;Puas
60;Memuaskan;Tidak Ada;Mampu;Baik;Puas
61;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
62;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
63;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
64;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
65;Memuaskan;Tidak Ada;Mampu;Baik;Puas
66;Memuaskan;Tidak Ada;Mampu;Baik;Puas
67;Cukup Memuaskan;Ada;Kurang Mampu;Cukup Baik;Tidak Puas
68;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Cukup Baik;Puas
69;Memuaskan;Tidak Ada;Mampu;Baik;Puas
70;Memuaskan;Tidak Ada;Mampu;Baik;Puas
71;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
72;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
73;Tidak Memuaskan;Tidak Ada;Tidak Mampu;Tidak Baik;Tidak Puas
74;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
75;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
76;Memuaskan;Tidak Ada;Mampu;Baik;Puas
77;Memuaskan;Tidak Ada;Mampu;Baik;Puas
78;Memuaskan;Tidak Ada;Mampu;Baik;Puas
79;Cukup Memuaskan;Tidak Ada;Kurang Mampu;Cukup Baik;Puas
80;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
81;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
82;Memuaskan;Tidak Ada;Mampu;Baik;Puas
83;Memuaskan;Tidak Ada;Mampu;Baik;Puas
84;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
85;Memuaskan;Tidak Ada;Mampu;Baik;Puas
86;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
87;Memuaskan;Tidak Ada;Mampu;Baik;Puas
88;Memuaskan;Tidak Ada;Mampu;Baik;Puas
89;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
90;Memuaskan;Tidak Ada;Mampu;Baik;Puas
91;Memuaskan;Tidak Ada;Mampu;Baik;Puas
92;Memuaskan;Tidak Ada;Mampu;Baik;Puas
93;Memuaskan;Tidak Ada;Mampu;Baik;Puas
94;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
95;Sangat Memuaskan;Tidak Ada;Sangat Mampu;Sangat Baik;Puas
96;Memuaskan;Tidak Ada;Mampu;Baik;Puas
97;Memuaskan;Tidak Ada;Mampu;Baik;Puas
98;Memuaskan;Tidak Ada;Mampu;Baik;Puas
99;Memuaskan;Tidak Ada;Mampu;Baik;Puas
100;Memuaskan;Tidak Ada;Mampu;Baik;Puas
